logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
,1,"Boy in red and black shirt walks through grass. Therefore, the boy is walking."," ""A boy in a red and black shirt walks through grass.""  "," ""The boy is walking.""","IsInRedAndBlackShirt(a),  IsWalkingThroughGrass(a)",IsWalking(a),"[('IsInRedAndBlackShirt(a)', 'IsWalking(a)'), ('  IsWalkingThroughGrass(a)', 'IsWalking(a)'), ('IsWalking(a)', '  IsWalkingThroughGrass(a)')]","[(' A boy', ' The boy')]",[],IsInRedAndBlackShirt(a) and IsWalkingThroughGrass(a),IsWalking(a),(IsInRedAndBlackShirt(a) and IsWalkingThroughGrass(a) & (forall a (IsInRedAndBlackShirt(a) -> IsWalking(a))) & (forall a (  IsWalkingThroughGrass(a) -> IsWalking(a))) & (forall a (IsWalking(a) ->   IsWalkingThroughGrass(a)))) -> (IsWalking(a)),(exists a (IsInRedAndBlackShirt(a) and IsWalkingThroughGrass(a)) & (forall e (IsInRedAndBlackShirt(e) -> IsWalking(e))) & (forall f (  IsWalkingThroughGrass(f) -> IsWalking(f))) & (forall g (IsWalking(g) ->   IsWalkingThroughGrass(g)))) -> (exists a (IsWalking(a)))
,1,"These girls are having a great time looking for seashells. As a consequence, the girls are happy."," ""The girls are having a great time looking for seashells.""  "," ""The girls are happy.""","IsHavingGreatTime(a),  IsLookingForSeashells(a, c)",IsHappy(a),"[('IsHavingGreatTime(a)', 'IsHappy(a)')]","[(' The girls', ' The girls')]",[],"IsHavingGreatTime(a) and IsLookingForSeashells(a, c)",IsHappy(a),"(IsHavingGreatTime(a) and IsLookingForSeashells(a, c) & (forall a (IsHavingGreatTime(a) -> IsHappy(a)))) -> (IsHappy(a))","(exists c (exists a (IsHavingGreatTime(a) and IsLookingForSeashells(a, c))) & (forall d (IsHavingGreatTime(d) -> IsHappy(d)))) -> (exists a (IsHappy(a)))"
,1,"Small girl in a pink dress is playing electronic drum pads with sticks. Consequently, a girl is playing electronic drums."," ""A small girl in a pink dress is playing electronic drum pads with sticks.""  "," ""A girl is playing electronic drums.""","IsSmall(a),  IsInPinkDress(a),  IsPlayingWith(a, c, d)","IsPlaying(e, f)","[('IsSmall(a)', 'IsPlaying(e, f)'), ('  IsPlayingWith(a, c, d)', 'IsPlaying(e, f)')]",[],"[(' A small girl', ' A girl'), (' electronic drum pads', ' electronic drums')]","IsSmall(a) and IsInPinkDress(a) and IsPlayingWith(a, c, d)","IsPlaying(e, f)","(exists c (exists a (IsSmall(a) and IsInPinkDress(a) and IsPlayingWith(a, c, d))) & (forall e (forall f (forall a (IsSmall(a) -> IsPlaying(e, f))))) & (forall d (forall a (forall c (forall f (forall e (  IsPlayingWith(a, c, d) -> IsPlaying(e, f)))))))) -> (forall f (forall e (IsPlaying(e, f))))","(exists c (exists d (exists a (IsSmall(a) and IsInPinkDress(a) and IsPlayingWith(a, c, d)))) & (forall h (forall i (forall g (IsSmall(g) -> IsPlaying(h,i))))) & (forall j (forall l (forall k (forall m (forall n (  IsPlayingWith(j,k,l) -> IsPlaying(m,n)))))))) -> (exists e (exists f (IsPlaying(e, f))))"
,1,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background. As a consequence, a person with a tattoo."," ""A blond woman has a tattoo of an angel on her arm.""  "," ""A person has a tattoo.""","IsBlond(b),  HasTattoo(b, a),  IsOfAngel(a, c),  IsOnArm(a, d)","IsPerson(e),  HasTattoo(e, a)",[],"[(' a tattoo', ' a tattoo')]","[(' A blond woman', ' A person'), (' her arm', ' A person')]","IsBlond(b) and HasTattoo(b, a) and IsOfAngel(a, c) and IsOnArm(a, d)","IsPerson(e) and HasTattoo(e, a)","(exists d (exists b (IsBlond(b) and HasTattoo(b, a) and IsOfAngel(a, c) and IsOnArm(a, d)))) -> (forall e (IsPerson(e) and HasTattoo(e, a)))","(exists c (exists d (exists b (exists a (IsBlond(b) and HasTattoo(b, a) and IsOfAngel(a, c) and IsOnArm(a, d)))))) -> (exists e (exists a (IsPerson(e) and HasTattoo(e, a))))"
,1,"A tan dog chases a black and white soccer ball. Therefore, a dog is chasing a ball."," ""A tan dog chases a black and white soccer ball.""  "," ""A dog is chasing a ball.""","IsTan(a),  IsChasing(a,b),  IsBlackAndWhite(b)","IsChasing(c, d)",[],[],"[(' A tan dog', ' A dog'), (' a black and white soccer ball', ' a ball')]","IsTan(a) and IsChasing(a,b) and IsBlackAndWhite(b)","IsChasing(c, d)","(exists b (exists a (IsTan(a) and IsChasing(a,b) and IsBlackAndWhite(b)))) -> (forall d (forall c (IsChasing(c, d))))","(exists b (exists a (IsTan(a) and IsChasing(a,b) and IsBlackAndWhite(b)))) -> (exists c (exists d (IsChasing(c, d))))"
,1,"A dusty boy runs along a dirt path through the grass. As a consequence, a boy is outside running."," ""A dusty boy runs along a dirt path through the grass.""  "," ""A boy is outside running.""","IsDusty(a),  RunsAlong(a, b),  IsInGrass(b, c)","IsOutside(d),  IsRunning(d)","[('  RunsAlong(a, b)', 'IsOutside(d)'), ('  RunsAlong(a, b)', '  IsRunning(d)')]",[],"[(' A dusty boy', ' A boy')]","IsDusty(a) and RunsAlong(a, b) and IsInGrass(b, c)",IsOutside(d) and IsRunning(d),"(exists a (IsDusty(a) and RunsAlong(a, b) and IsInGrass(b, c)) & (forall d (forall b (forall a (  RunsAlong(a, b) -> IsOutside(d))))) & (forall d (forall b (forall a (  RunsAlong(a, b) ->   IsRunning(d)))))) -> (forall d (IsOutside(d) and IsRunning(d)))","(exists c (exists b (exists a (IsDusty(a) and RunsAlong(a, b) and IsInGrass(b, c)))) & (forall e (forall f (forall g (  RunsAlong(e,f) -> IsOutside(g))))) & (forall h (forall j (forall i (  RunsAlong(h,i) ->   IsRunning(j)))))) -> (exists d (IsOutside(d) and IsRunning(d)))"
,1,"A guy with a football, a crowd watching him. Consequently, there is a guy holding a football."," ""A guy is holding a football.""  "," ""A guy with a football is being watched by a crowd.""","IsHolding(a, b)","IsWithFootball(c),  IsBeingWatched(c, d)","[('IsHolding(a, b)', 'IsWithFootball(c)')]",[],[],"IsHolding(a, b)","IsWithFootball(c) and IsBeingWatched(c, d)","(IsHolding(a, b) & (forall c (forall b (forall a (IsHolding(a, b) -> IsWithFootball(c)))))) -> (IsWithFootball(c) and IsBeingWatched(c, d))","(exists b (exists a (IsHolding(a, b))) & (forall e (forall f (forall g (IsHolding(e,f) -> IsWithFootball(g)))))) -> (exists c (exists d (IsWithFootball(c) and IsBeingWatched(c, d))))"
,1,Two women are tending to their herd of animals including cows and goats near a building made primarily of stone. It follows that the two women are taking care of a herd of animals.," ""Two women are tending to a herd of animals including cows and goats.""  "," ""The two women are taking care of a herd of animals.""","TendsTo(a,b),  Includes(b,c),  Includes(b,d)","TakesCareOf(a, b)","[('TendsTo(a,b)', 'TakesCareOf(a, b)')]","[(' Two women', ' The two women'), (' a herd of animals', ' a herd of animals')]","[(' cows', ' a herd of animals'), (' goats', ' a herd of animals')]","TendsTo(a,b) and Includes(b,c) and Includes(b,d)","TakesCareOf(a, b)","(exists d (exists c (TendsTo(a,b) and Includes(b,c) and Includes(b,d))) & (forall b (forall a (TendsTo(a,b) -> TakesCareOf(a, b))))) -> (forall b (TakesCareOf(a, b)))","(exists c (exists d (exists b (exists a (TendsTo(a,b) and Includes(b,c) and Includes(b,d))))) & (forall h (forall f (forall g (TendsTo(f,g) -> TakesCareOf(f,h)))))) -> (exists b (exists a (TakesCareOf(a, b))))"
,1,"A boy and girl play together on a pile or rocks in a residential area. Thus, the boy and girl are outside."," ""A boy and girl play together on a pile of rocks in a residential area.""  "," ""The boy and girl are outside.""","IsPlayingTogether(a, b),  IsOnPileOfRocks(a, b, c),  IsInResidentialArea(c, d)","IsOutside(a),  IsOutside(b)","[('IsPlayingTogether(a, b)', 'IsOutside(a)'), ('  IsInResidentialArea(c, d)', 'IsOutside(a)')]","[(' A boy', ' The boy'), (' girl', ' the girl')]",[],"IsPlayingTogether(a, b) and IsOnPileOfRocks(a, b, c) and IsInResidentialArea(c, d)",IsOutside(a) and IsOutside(b),"(IsPlayingTogether(a, b) and IsOnPileOfRocks(a, b, c) and IsInResidentialArea(c, d) & (forall b (forall a (IsPlayingTogether(a, b) -> IsOutside(a)))) & (forall c (forall d (forall a (  IsInResidentialArea(c, d) -> IsOutside(a)))))) -> (IsOutside(a) and IsOutside(b))","(exists c (exists d (exists b (exists a (IsPlayingTogether(a, b) and IsOnPileOfRocks(a, b, c) and IsInResidentialArea(c, d))))) & (forall h (forall g (IsPlayingTogether(g,h) -> IsOutside(g)))) & (forall j (forall k (forall i (  IsInResidentialArea(i,j) -> IsOutside(k)))))) -> (exists b (exists a (IsOutside(a) and IsOutside(b))))"
,1,"A boy stands in the middle of a crowd of teenagers. Thus, a person stands in the middle of a crowd of teenagers."," ""A boy stands in the middle of a crowd of teenagers.""  "," ""A person stands in the middle of a crowd of teenagers.""","IsInMiddle(b, a),  IsInCrowd(b, c)","IsInMiddle(d, a),  IsInCrowd(d, e),  IsTeenagers(f)",[],"[(' the middle', ' the middle')]","[(' A boy', ' A person'), (' A boy', ' teenagers'), (' a crowd of teenagers', ' a crowd'), (' a crowd of teenagers', ' teenagers')]","IsInMiddle(b, a) and IsInCrowd(b, c)","IsInMiddle(d, a) and IsInCrowd(d, e) and IsTeenagers(f)","(exists c (exists b (IsInMiddle(b, a) and IsInCrowd(b, c)))) -> (forall e (forall f (forall d (IsInMiddle(d, a) and IsInCrowd(d, e) and IsTeenagers(f)))))","(exists c (exists b (exists a (IsInMiddle(b, a) and IsInCrowd(b, c))))) -> (exists e (exists d (exists f (exists a (IsInMiddle(d, a) and IsInCrowd(d, e) and IsTeenagers(f))))))"
,1,"Two men are standing in a boat. Thus, some people are in a boat."," ""Two men are standing in a boat.""  "," ""Some people are in a boat.""","IsStanding(b, a),  IsInBoat(b)",IsInBoat(c),"[('IsStanding(b, a)', 'IsInBoat(c)')]","[(' a boat', ' a boat')]","[(' Two men', ' Some people')]","IsStanding(b, a) and IsInBoat(b)",IsInBoat(c),"(exists b (IsStanding(b, a) and IsInBoat(b)) & (forall c (forall b (forall a (IsStanding(b, a) -> IsInBoat(c)))))) -> (forall c (IsInBoat(c)))","(exists b (exists a (IsStanding(b, a) and IsInBoat(b))) & (forall e (forall d (forall f (IsStanding(d,e) -> IsInBoat(f)))))) -> (exists c (IsInBoat(c)))"
,1,An Asian woman dressed in a colorful outfit laughing. It follows that a woman is wearing colorful clothing.," ""An Asian woman is dressed in a colorful outfit.""  "," ""A woman is wearing colorful clothing.""","IsAsian(a),  IsDressedIn(a, b),  IsColorful(b)","IsWoman(c),  IsWearing(c, d),  IsColorful(d)","[('IsWoman(c)', '  IsDressedIn(a, b)'), ('IsWoman(c)', '  IsColorful(b)')]",[],"[(' An Asian woman', ' A woman'), (' a colorful outfit', ' colorful clothing')]","IsAsian(a) and IsDressedIn(a, b) and IsColorful(b)","IsWoman(c) and IsWearing(c, d) and IsColorful(d)","(exists b (exists a (IsAsian(a) and IsDressedIn(a, b) and IsColorful(b))) & (forall c (forall b (forall a (IsWoman(c) ->   IsDressedIn(a, b))))) & (forall c (forall b (IsWoman(c) ->   IsColorful(b))))) -> (forall d (forall c (IsWoman(c) and IsWearing(c, d) and IsColorful(d))))","(exists b (exists a (IsAsian(a) and IsDressedIn(a, b) and IsColorful(b))) & (forall e (forall f (forall g (IsWoman(e) ->   IsDressedIn(f,g))))) & (forall h (forall i (IsWoman(h) ->   IsColorful(i))))) -> (exists c (exists d (IsWoman(c) and IsWearing(c, d) and IsColorful(d))))"
,1,"A woman in black reviews a message as she walks to work. Hence, the woman in black has a job."," ""The woman in black reviews a message.""  "," ""The woman in black has a job.""","IsInBlack(a),  Reviews(a, b)","IsInBlack(a),  HasJob(a)",[],"[(' The woman in black', ' The woman in black')]",[],"IsInBlack(a) and Reviews(a, b)",IsInBlack(a) and HasJob(a),"(IsInBlack(a) and Reviews(a, b)) -> (IsInBlack(a) and HasJob(a))","(exists b (exists a (IsInBlack(a) and Reviews(a, b)))) -> (exists a (IsInBlack(a) and HasJob(a)))"
,1,"A shirtless man rock climbs. As a consequence, a man is outside."," ""A shirtless man rock climbs.""  "," ""A man is outside.""","IsShirtless(a),  IsRockClimbing(a)",IsOutside(c),[],[],"[(' A shirtless man', ' A man')]",IsShirtless(a) and IsRockClimbing(a),IsOutside(c),(exists a (IsShirtless(a) and IsRockClimbing(a))) -> (forall c (IsOutside(c))),(exists a (IsShirtless(a) and IsRockClimbing(a))) -> (exists c (IsOutside(c)))
,1,"A man wearing a kilt has thrown a large pole. Therefore, a man is wearing a skirt."," ""A man wearing a kilt has thrown a large pole.""  "," ""A man is wearing a skirt.""","IsWearingKilt(a),  HasThrown(a, b)",IsWearingSkirt(c),"[('IsWearingKilt(a)', 'IsWearingSkirt(c)'), ('  HasThrown(a, b)', 'IsWearingSkirt(c)')]",[],"[(' A man wearing a kilt', ' A man')]","IsWearingKilt(a) and HasThrown(a, b)",IsWearingSkirt(c),"(exists a (IsWearingKilt(a) and HasThrown(a, b)) & (forall c (forall a (IsWearingKilt(a) -> IsWearingSkirt(c)))) & (forall c (forall b (forall a (  HasThrown(a, b) -> IsWearingSkirt(c)))))) -> (forall c (IsWearingSkirt(c)))","(exists b (exists a (IsWearingKilt(a) and HasThrown(a, b))) & (forall e (forall f (IsWearingKilt(e) -> IsWearingSkirt(f)))) & (forall h (forall i (forall g (  HasThrown(g,h) -> IsWearingSkirt(i)))))) -> (exists c (IsWearingSkirt(c)))"
,1,"A man in a blue t-shirt is taking a picture while a woman with an umbrella walks behind him. Consequently, a man is taking a picture outdoors while a woman walks behind him."," ""A man in a blue t-shirt is taking a picture.""  "," ""A man is taking a picture outdoors.""","IsInBlueTShirt(b),  IsTakingPicture(b)","IsTakingPicture(c),  IsOutdoors(a)","[('IsInBlueTShirt(b)', 'IsTakingPicture(c)')]","[(' a picture', ' a picture')]","[(' A man in a blue t-shirt', ' A man')]",IsInBlueTShirt(b) and IsTakingPicture(b),IsTakingPicture(c) and IsOutdoors(d),(exists b (IsInBlueTShirt(b) and IsTakingPicture(b)) & (forall c (forall b (IsInBlueTShirt(b) -> IsTakingPicture(c))))) -> (forall c (IsTakingPicture(c) and IsOutdoors(d))),(exists b (IsInBlueTShirt(b) and IsTakingPicture(b)) & (forall e (forall f (IsInBlueTShirt(e) -> IsTakingPicture(f))))) -> (exists c (exists d (IsTakingPicture(c) and IsOutdoors(d))))
,1,"A child and a parent or older sibling going for a hike. Consequently, two people are going for a hike."," ""A child and a parent or older sibling are going for a hike.""  "," ""Two people are going for a hike.""","IsChild(a),  IsParent(b),  IsOlderSibling(c),  IsGoingForHike(a,b,c,d)",IsGoingForHike(e),"[('IsChild(a)', 'IsGoingForHike(e)')]",[],[],"(IsChild(a) and (IsParent(b) or IsOlderSibling(c))) and IsGoingForHike(a,b,c,d)",IsGoingForHike(e),"((IsChild(a) and (IsParent(b) or IsOlderSibling(c))) and IsGoingForHike(a,b,c,d) & (forall e (forall a (IsChild(a) -> IsGoingForHike(e))))) -> (IsGoingForHike(e))","(exists c (exists d (exists b (exists a ((IsChild(a) and (IsParent(b) or IsOlderSibling(c))) and IsGoingForHike(a,b,c,d))))) & (forall f (forall g (IsChild(f) -> IsGoingForHike(g))))) -> (exists e (IsGoingForHike(e)))"
,1,"Two kids in black trunks bouncing on a wet trampoline. Consequently, children play on trampolines outdoors."," ""Two kids in black trunks are bouncing on a wet trampoline.""  "," ""Children play on trampolines outdoors.""","IsInBlackTrunks(a),  IsBouncingOn(a, c),  IsWet(c)","IsPlayingOn(d, e),  IsOutdoors(f)",[],[],"[(' Two kids', ' Children'), (' wet trampoline', ' trampolines')]","IsInBlackTrunks(a) and IsBouncingOn(a, c) and IsWet(c)","IsPlayingOn(d, e) and IsOutdoors(f)","(exists c (exists a (IsInBlackTrunks(a) and IsBouncingOn(a, c) and IsWet(c)))) -> (forall e (forall d (IsPlayingOn(d, e) and IsOutdoors(f))))","(exists c (exists a (IsInBlackTrunks(a) and IsBouncingOn(a, c) and IsWet(c)))) -> (exists e (exists d (exists f (IsPlayingOn(d, e) and IsOutdoors(f)))))"
,1,"2 people with backpacks are at a table with a woman with a beige blazer sitting behind it. Thus, 2 people are at a table."," ""Two people with backpacks are at a table with a woman in a beige blazer.""  "," ""Two people are at a table.""","IsWithBackpack(b),  IsAtTable(b,a),  IsInBeigeBlazer(c,d)","IsAtTable(e, a)","[('IsWithBackpack(b)', 'IsAtTable(e, a)'), ('IsAtTable(e, a)', 'IsWithBackpack(b)')]","[(' a table', ' a table')]","[(' Two people with backpacks', ' Two people')]","IsWithBackpack(b) and IsAtTable(b,a) and IsInBeigeBlazer(c,d)","IsAtTable(e, a)","(exists b (IsWithBackpack(b) and IsAtTable(b,a) and IsInBeigeBlazer(c,d)) & (forall e (forall b (forall a (IsWithBackpack(b) -> IsAtTable(e, a))))) & (forall e (forall b (forall a (IsAtTable(e, a) -> IsWithBackpack(b)))))) -> (forall e (IsAtTable(e, a)))","(exists c (exists d (exists b (exists a (IsWithBackpack(b) and IsAtTable(b,a) and IsInBeigeBlazer(c,d))))) & (forall h (forall f (forall g (IsWithBackpack(f) -> IsAtTable(g,h))))) & (forall j (forall k (forall i (IsAtTable(i,j) -> IsWithBackpack(k)))))) -> (exists e (exists a (IsAtTable(e, a))))"
,1,"A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground. It follows that there are people wrestling."," ""Two men are wrestling on the ground.""  "," ""There are people wrestling.""",IsWrestling(a),IsWrestling(c),[],[],"[(' Two men', ' People')]","IsWrestling(a) and IsOnGround(a,b)",IsWrestling(c),"(exists a (IsWrestling(a) and IsOnGround(a,b))) -> (forall c (IsWrestling(c)))","(exists b (exists a (IsWrestling(a) and IsOnGround(a,b)))) -> (exists c (IsWrestling(c)))"
,1,"two girls looking out the window at ""Hair at Hart."" Hence, two people look out a window."," ""Two girls are looking out the window at 'Hair at Hart.'""  "," ""Two people look out a window.""","IsLookingOut(b, a),  IsAbout(b, c)","IsLookingOut(d, a)",[],"[(' the window', ' a window')]","[(' Two girls', ' Two people')]","IsLookingOut(b, a) and IsAbout(b, c)","IsLookingOut(d, a)","(exists b (IsLookingOut(b, a) and IsAbout(b, c))) -> (forall d (IsLookingOut(d, a)))","(exists c (exists b (exists a (IsLookingOut(b, a) and IsAbout(b, c))))) -> (exists d (exists a (IsLookingOut(d, a))))"
,1,"A man visiting a friend in the hospital. Therefore, a man in a hospital receives a visiting friend."," ""A man is visiting a friend in the hospital.""  "," ""A man in a hospital receives a visiting friend.""","IsVisiting(a, c),  IsInHospital(c, b)","IsInHospital(a, b),  Receives(d, a)",[],"[(' A man', ' A man'), (' the hospital', ' a hospital')]",[],"IsVisiting(a, c) and IsInHospital(c, b)","IsInHospital(a, b) and Receives(d, a)","(IsVisiting(a, c) and IsInHospital(c, b)) -> (IsInHospital(a, b) and Receives(d, a))","(exists c (exists b (exists a (IsVisiting(a, c) and IsInHospital(c, b))))) -> (exists d (exists b (exists a (IsInHospital(a, b) and Receives(d, a)))))"
